,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
190,0.76899999,VEN,LatAm,10513.96,,5.199999809265137,2.640229225158691,,74.78971099853516
116,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,7.4000000953674325,2.77046012878418,6.483220100402832,19.43997955322266
5,0.78399998,ATG,Caribbean,12257.71,,7.300000190734862,,,79.73143768310547
19,0.69800001,BWA,SubSaharian,12770.73,,5.099999904632568,3.523580312728882,,
4,0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,6.0,2.134715557098389,,
32,0.34700000000000003,CAF,SubSaharian,690.03998,,6.9000000953674325,,1.22393000125885,13.60074996948242
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795
52,0.67799997,SLV,LatAm,332.26999,,6.9000000953674325,3.804579257965088,3.448570013046265,70.17172241210939
167,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,64.4613037109375
173,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,,,75.42909240722656
147,0.72000003,VCT,Caribbean,7454.8799,0.1099999994039536,,,,
42,0.77499998,CRI,LatAm,9485.71,,3.5,4.666448593139648,6.9272398948669425,78.12113952636719
58,0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.299999952316284,5.859115123748778,7.168099880218506,94.00318145751952
89,,PRK,EastAsia,1727.8199,,4.199999809265137,,,76.20372772216797
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,2.099999904632568,5.986858367919923,5.096079826354981,84.2464828491211
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,4.0838799476623535,84.60346984863281
141,0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,3.0999999046325684,5.8205223083496085,3.6071898937225337,72.4646224975586
96,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
56,0.86299998,EST,EastEurope,19768.039,1.315999984741211,3.5,4.364778518676759,5.481639862060547,94.39128112792969
127,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,1.6000000238418581,5.048264026641847,7.373290061950684,95.2019271850586
155,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,
60,0.47,DJI,SubSaharian,2685.5,,5.800000190734862,,,
99,0.91100001,LIE,WesternDem,102243.52,,,,2.556040048599243,91.53871917724608
137,0.852,POL,EastEurope,19990.939,38.01800155639648,4.400000095367432,3.566189289093018,4.911749839782715,92.548828125
38,0.72399998,COL,LatAm,8761.1396,47.6619987487793,6.699999809265138,3.405907869338989,4.659409999847412,78.58606719970703
158,0.88800001,SVN,EastEurope,24456.561,2.0610001087188716,2.799999952316284,4.073011398315431,5.4865899085998535,94.94590759277344
135,0.73699999,PER,LatAm,9227.1504,30.80900001525879,6.699999809265138,2.538634538650513,3.6897799968719482,78.37956237792969
69,0.63700002,GTM,LatAm,4438.0,,6.699999809265138,2.693367958068848,2.9417400360107417,46.71841812133789
175,0.83600003,ARE,NorthAfrica,20310.109,,2.5,5.27984094619751,,
83,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,6.699999809265138,3.562078714370728,4.729380130767822,
10,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,5.0,,,
76,0.61500001,IND,SouthAsia,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,1.8999999761581419,5.328890800476074,6.5851402282714835,95.2855987548828
71,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,9.100000381469727,3.933674573898315,3.19215989112854,82.4810562133789
149,0.565,STP,SubSaharian,2150.55,,7.9000000953674325,,3.7568199634552,64.42681121826172
124,0.64200002,NIC,LatAm,2527.1001,5.946000099182129,8.100000381469728,2.655974626541138,,
102,0.51099998,MDG,SubSaharian,822.62,,6.0999999046325675,2.968793392181397,2.0820400714874268,31.08041000366211
91,0.79900002,KWT,NorthAfrica,64342.710999999996,3.999000072479248,3.0999999046325684,3.075769186019898,,83.57884979248047
43,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.5,3.225566625595093,4.5816001892089835,92.67062377929688
54,0.44100001,ETH,SubSaharian,900.7700199999999,88.34700012207031,7.0,3.5992515087127686,4.500510215759277,30.274250030517578
113,0.70099998,MDA,EastEurope,4207.8701,3.5550000667572017,6.4000000953674325,3.163065433502197,7.4678401947021475,76.86421203613281
136,0.67900002,PHL,SouthEastAsia,3953.1001,100.1490020751953,6.199999809265138,4.54694414138794,,67.44245910644531
93,0.58200002,LAO,SouthEastAsia,2926.77,6.8979997634887695,7.4000000953674325,3.834710359573364,3.320110082626343,50.828941345214844
